date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,year,month,normalized_open,normalized_close,volume_bin
2014-07-18,86.1354,87.1658,85.5833,86.8806,49987593,49987593,1.233,1.44,86.4935,"Jul 18, 14",0.2594658614336183,2014,7,0.11310275809963231,0.11665069105801244,2.0
2014-07-21,87.3958,87.405,86.2274,86.4289,39079002,39079002,-0.451747,-0.52,86.6043,"Jul 21, 14",0.2529177859183759,2014,7,0.12092752406748764,0.11386810143238377,1.0
2014-07-22,87.1106,87.3038,86.5954,87.1474,55196597,55196597,0.718562,0.831,86.8942,"Jul 22, 14",0.2633335314523623,2014,7,0.11915695658571021,0.11829424853447411,2.0
2014-07-23,87.7915,90.0548,87.5614,89.42,92917719,92917719,2.2725,2.608,89.2722,"Jul 23, 14",0.2962783098803892,2014,7,0.1233840933260408,0.1322940563343494,4.0
2014-07-24,89.2773,89.5396,88.7115,89.2728,45728843,45728843,-0.14721,-0.165,89.1512,"Jul 24, 14",0.294144422973496,2014,7,0.13260817875530098,0.1313872660025085,1.0
2014-07-25,89.1071,90.018,88.9139,89.8625,43469117,43469117,0.589754,0.661,89.5648,"Jul 25, 14",0.3026930174639507,2014,7,0.13155154977424025,0.13501997156423798,1.0
2014-07-28,89.9996,91.3061,89.7512,91.1037,55317689,55317689,1.2411,1.381,90.6004,"Jul 28, 14",0.320686091029412,2014,7,0.13709233335588966,0.14266608678082043,2.0
2014-07-29,91.3889,91.4901,90.3952,90.5148,43143095,43143095,-0.588835,-0.646,90.794,"Jul 29, 14",0.3121490937504075,2014,7,0.1457173312606354,0.1390383094274161,1.0
2014-07-30,90.57,90.8092,89.8616,90.3032,33010001,33010001,-0.211609,-0.234,90.4033,"Jul 30, 14",0.3090816313217487,2014,7,0.1406334683194446,0.13773479832539487,1.0
2014-07-31,89.3924,89.6592,87.7087,87.9571,56842647,56842647,-2.3461,-2.598,88.4515,"Jul 31, 14",0.2750713590917063,2014,7,0.1333227380721053,0.1232822113856397,2.0
2014-08-01,87.313,88.8955,87.2302,88.4447,48511286,48511286,0.487627,0.554,88.1783,"Aug 1, 14",0.2821398594707902,2014,8,0.12041348834697164,0.1262859543598627,2.0
2014-08-04,88.6655,88.8587,87.5614,87.9479,39958144,39958144,-0.496829,-0.562,88.1187,"Aug 4, 14",0.2749379911600256,2014,8,0.12881002593148794,0.12322553698989969,1.0
2014-08-05,87.7363,88.0307,86.8162,87.5154,55932663,55932663,-0.432423,-0.492,87.3898,"Aug 5, 14",0.2686682487195953,2014,8,0.12304140284569678,0.12056122436407635,2.0
2014-08-06,87.175,87.8467,87.1382,87.3682,38558342,38558342,-0.147209,-0.168,87.4697,"Aug 6, 14",0.2665343618127021,2014,8,0.11955676214611154,0.11965443403223545,1.0
2014-08-07,87.775,88.7182,87.0076,87.359,46711179,46711179,-0.009286,-0.011,87.9017,"Aug 7, 14",0.2664009938810212,2014,8,0.12328165867159019,0.11959775963649535,1.0
2014-08-08,87.1555,87.6733,86.2494,87.5994,41865193,41865193,0.240402,0.275,87.0913,"Aug 8, 14",0.2698859559218985,2014,8,0.11943570300903351,0.12107868623822471,1.0
2014-08-11,88.0894,88.8384,87.6877,88.7551,36584844,36584844,1.1558,1.319,88.5373,"Aug 11, 14",0.2866395775135868,2014,8,0.12523350445094092,0.128198099190049,1.0
2014-08-12,88.8014,89.5781,88.4038,88.7367,33795352,33795352,-0.018492,-0.021,88.9795,"Aug 12, 14",0.2863728416502251,2014,8,0.1296537149945089,0.12808475039856887,1.0
2014-08-13,88.9031,89.9109,88.8014,89.9109,31866088,31866088,1.1743,1.323,89.5083,"Aug 13, 14",0.3033946487567063,2014,8,0.13028508495557747,0.13531812816791394,1.0
2014-08-14,89.9941,90.2161,89.5041,90.1513,28115566,28115566,0.240406,0.267,89.9984,"Aug 14, 14",0.3068796107975837,2014,8,0.1370581884710728,0.1367990547696433,0.0
2014-08-15,90.5212,90.7893,89.5596,90.5952,48951331,48951331,0.44382,0.492,90.3004,"Aug 15, 14",0.3133146135011836,2014,8,0.14033051006870567,0.139533594364101,2.0
2014-08-18,91.0667,91.8804,90.5952,91.6862,47572413,47572413,1.0911,1.204,91.4787,"Aug 18, 14",0.3291303106168121,2014,8,0.14371706182645333,0.14625443846762293,2.0
2014-08-19,91.9174,93.0917,91.8342,92.953,69399270,69399270,1.2667,1.382,92.579,"Aug 19, 14",0.3474944949486895,2014,8,0.14899834428349443,0.1540582563506125,3.0
2014-08-20,92.8697,93.4708,92.4167,92.9899,52699192,52699192,0.036984,0.04,93.0343,"Aug 20, 14",0.3480294163268442,2014,8,0.1549103758855165,0.1542855699596134,2.0
2014-08-21,92.9899,93.3321,92.5646,92.9992,33478198,33478198,0.009249,0.01,92.9732,"Aug 21, 14",0.3481642339099563,2014,8,0.15565659682278746,0.15434286038139408,1.0
2014-08-22,92.731,93.8221,92.6386,93.6834,44183834,44183834,0.684225,0.736,93.4581,"Aug 22, 14",0.3580827490030022,2014,8,0.1540493039720434,0.1585577105515405,1.0
2014-08-25,94.118,94.4694,93.6464,93.8868,40270173,40270173,0.203415,0.217,94.101,"Aug 25, 14",0.3610313400142934,2014,8,0.16266002310677474,0.1598107075182282,1.0
2014-08-26,93.7759,93.8498,93.2581,93.2849,33151984,33151984,-0.601929,-0.641,93.5016,"Aug 26, 14",0.3523058880492184,2014,8,0.16053621127116435,0.15610284677953906,1.0
2014-08-27,93.406,94.8392,93.1101,94.4324,52369011,52369011,1.1475,1.23,94.0733,"Aug 27, 14",0.3689406382235391,2014,8,0.15823981256320688,0.16317174559602987,2.0
2014-08-28,93.9331,95.0334,93.9053,94.5433,68459801,68459801,0.110954,0.117,94.6411,"Aug 28, 14",0.3705483016608656,2014,8,0.16151213416083976,0.16385491847511383,3.0
2014-08-29,95.1073,95.1443,94.4971,94.7745,44595247,44595247,0.231159,0.245,94.7845,"Aug 29, 14",0.3738998957700621,2014,8,0.1688017566612014,0.16527917068110307,1.0
2014-09-02,95.2923,95.921,94.9779,95.5142,53564262,53564262,0.739703,0.78,95.5157,"Sep 2, 14",0.3846229674074868,2014,9,0.16995026642322397,0.16983591530381176,2.0
2014-09-03,95.3293,95.4217,91.1499,91.4828,125420521,125420521,-4.0314,-4.221,92.4569,"Sep 3, 14",0.3261817196055208,2014,9,0.17017996837562852,0.14500144150093514,6.0
2014-09-04,91.3996,92.5461,90.4195,90.7246,85718221,85718221,-0.758195,-0.829,91.5385,"Sep 4, 14",0.315190462453303,2014,9,0.14578375858200643,0.14033073206070568,4.0
2014-09-05,91.3534,91.8989,90.9003,91.5105,58457035,58457035,0.785935,0.866,91.4059,"Sep 5, 14",0.3265832730519945,2014,9,0.1454969415495445,0.14517208071419593,2.0
2014-09-08,91.8157,91.8249,90.6599,90.9465,46356742,46356742,-0.564025,-0.616,91.1953,"Sep 8, 14",0.3184072389793874,2014,9,0.14836697432242585,0.14169769384491424,1.0
2014-09-09,91.6122,95.3108,88.8938,90.6044,189846255,189846255,-0.342114,-0.376,92.2335,"Sep 9, 14",0.3134479814328644,2014,9,0.147103613584201,0.13959026875984104,9.0
2014-09-10,90.6229,93.4892,90.3917,93.3875,100869587,100869587,2.7831,3.072,92.0782,"Sep 10, 14",0.353793230417746,2014,9,0.14096188002977436,0.15673488949724887,5.0
2014-09-11,92.842,93.7944,92.1115,93.7851,62399743,62399743,0.397591,0.426,92.8752,"Sep 11, 14",0.3595570445086478,2014,9,0.15473840982925696,0.15918420903488434,2.0
2014-09-12,93.5817,94.4878,93.4615,93.9978,64096903,64096903,0.212664,0.227,94.0198,"Sep 12, 14",0.3626404531030512,2014,9,0.1593305864290845,0.1604944964233528,2.0
